variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Fundamental/Taxa de Abandono/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Bom Retiro do Sul;4302402;-29,60859999999;-51,94639999999;1;1;0,2;0,6;0,6;0,5;0,5;0,8;0,5
Boqueirão do Leão;4302451;-29,3046;-52,4284;1,4;1,3;1,4;1,4;0,5;1;1;0,7;1,8
Bossoroca;4302501;-28,72909999999;-54,9035;2,4;1,9;1,7;1,7;5;1,4;0,6;2,2;1,3
Bozano;4302584;-28,36746;-53,77223999999;0;0,5;-;1,3;0,7;1,2;0,4;2,2;0,8
Braga;4302600;-27,6173;-53,74049999999;1,6;1,1;1,1;0,9;1,3;0,8;0,7;0;1,3
Brochier;4302659;-29,5501;-51,59449999999;1,1;-;-;-;1,7;0,2;0,2;1,2;1,8
Butiá;4302709;-30,11789999999;-51,96009999999;1,7;2;1,2;1,5;0,6;0,8;2,3;0,5;1,4
Caçapava do Sul;4302808;-30,51439999999;-53,4827;1,4;1,4;1,4;0,9;1,4;1,4;1,2;1,2;1,1
Cacequi;4302907;-29,8883;-54,822;1;1,4;1;0,9;0,8;0,6;0,9;0,5;1,2
Cachoeira do Sul;4303004;-30,033;-52,8928;0,9;0,7;1,2;0,9;0,9;0,6;0,9;0,8;0,9
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;1,6;1,9;1,7;1,9;1,2;1,2;1,2;1,3;1,4
Cacique Doble;4303202;-27,76699999999;-51,6597;1,7;0,9;2,1;0,7;1,2;1,4;1,4;0,7;1
Caibaté;4303301;-28,2905;-54,6454;1;-;0,6;0,8;0,9;2,1;1,4;0,8;1,7
Caiçara;4303400;-27,2791;-53,42569999999;0,9;0,7;0,6;0,6;1,5;0,8;1,3;1,1;2,2
Camaquã;4303509;-30,8489;-51,80429999999;1,5;1,5;1,4;1,4;1,5;1,4;1;1,1;1,3
Camargo;4303558;-28,588;-52,20029999999;4,3;3,9;0,6;0,6;0,2;2,1;0,6;1,9;0,9
Cambará do Sul;4303608;-29,0474;-50,1465;0,4;0,3;2,1;0,7;0,6;1,1;0,8;0,3;0,3
Campestre da Serra;4303673;-28,7926;-51,09409999999;1,1;1,4;0,7;0,5;0,8;0,6;1,5;1,3;2,2
Campina das Missões;4303707;-27,9888;-54,8417;0,5;0,6;0,2;0,7;0,8;0,6;0;0;0,7
Campinas do Sul;4303806;-27,7174;-52,6248;0,1;-;0,8;0,3;0;0;0;0;0
Campo Bom;4303905;-29,6747;-51,0606;0,3;0,2;0,6;0,6;0,3;0,4;0,2;0,5;0,3
Campo Novo;4304002;-27,6792;-53,80519999999;1,3;2,2;2,2;2,4;1,8;2,3;2,3;1,4;1,6
Campos Borges;4304101;-28,8871;-53,00079999999;0,2;0,2;0,7;0,5;0,5;0;0;0;0,3
Candelária;4304200;-29,66839999999;-52,78949999999;1,7;1,4;1,7;2,1;2,2;2,3;2,3;2,4;2,3
Cândido Godói;4304309;-27,95149999999;-54,7517;0,1;0,6;0,3;0,6;0,5;0,6;0,3;0,6;1,3
Candiota;4304358;-31,5515;-53,6773;0,7;0,7;0,9;0,8;1,1;0,7;0,3;0,4;0,7
Canela;4304408;-29,356;-50,8119;1,6;1,7;1,5;1,9;1;1,3;1,9;1,4;2,1
Canguçu;4304507;-31,396;-52,67819999999;2,4;2,2;1,6;1,6;0,9;1,1;1,2;1;1
Canoas;4304606;-29,9128;-51,18569999999;1,9;2,2;1,9;2;1,6;1,5;1,5;1,7;1,4
Canudos do Vale;4304614;-29,3187;-52,23449999999;2,2;1,4;-;-;0;0;0;1;1,6
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;0;-;-;-;0;0,7;0;0;0
Capão da Canoa;4304630;-29,6397;-49,95989999999;3,1;2,5;1,7;1,8;1;1;1;0,9;1,2
Capão do Cipó;4304655;-28,904;-54,7;1,1;0,3;-;0,3;0,3;0;0,4;1,1;0,4
Capão do Leão;4304663;-31,75649999999;-52,4889;3,5;3,9;2,1;1,2;1,2;0,7;1,3;1;0,3
Capela de Santana;4304689;-29,6961;-51,328;3,8;2,5;3;2;3,2;3,1;2,2;2,5;1,7
Capitão;4304697;-29,26739999999;-51,9853;1,5;0,6;1,2;0,9;0,6;0;0,3;1,4;1,5
Capivari do Sul;4304671;-30,1382;-50,51509999999;1,3;-;-;0,4;0,3;0,1;0;0;0
Caraá;4304713;-29,78689999999;-50,4316;2;1,6;0,4;1,6;1,3;2,2;1,4;4;1,2
Carazinho;4304705;-28,2958;-52,7933;1,2;1,7;1,3;1,4;1,8;1;1,2;0,9;1,3
Carlos Barbosa;4304804;-29,2969;-51,50289999999;0,3;0,6;0,2;0,4;0,2;0,1;0,4;0,1;0,1
Carlos Gomes;4304853;-27,71669999999;-51,9121;0;-;-;0,5;1,7;0,6;0,7;0;0
Casca;4304903;-28,5605;-51,98149999999;0,3;0,2;0,3;0,3;0,2;0,2;0,2;0,2;0,1
Caseiros;4304952;-28,25819999999;-51,6861;0,5;0,3;1,2;0,2;0,6;0;0;1,8;2,9
Catuípe;4305009;-28,2554;-54,01319999999;2;1;1,3;0,5;1;1,5;0,7;2,6;0,7
Caxias do Sul;4305108;-29,1629;-51,1792;1;1;1,2;1,2;0,9;0,7;0,6;0,6;0,8
Centenário;4305116;-27,7616;-51,99839999999;0,6;1;-;0,3;0;0;0;0;0
Cerrito;4305124;-31,84189999999;-52,8004;0,6;0,5;0,7;0,4;0,3;0,3;0;0,2;0,1
Cerro Branco;4305132;-29,657;-52,9406;2,6;4,5;3,7;2,2;2,7;1;1,3;1;1,2
Cerro Grande;4305157;-27,6106;-53,1672;1,2;2,7;0,3;0,3;1,6;0;0,3;0,3;0,4
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;1,2;1,1;0,7;0,8;0,9;0,8;0,3;0,2;0,6
Cerro Largo;4305207;-28,1462;-54,7428;0,3;0,3;0,2;0,1;0,3;0;0,5;0,2;0,1
Chapada;4305306;-28,0559;-53,06649999999;1,8;3,1;2,8;2,1;0,8;0,5;1;1,9;1,2
Charqueadas;4305355;-29,9625;-51,6289;1,4;1,5;1,8;1,4;11,1;1;0,2;0,1;0,1
Charrua;4305371;-27,9493;-52,015;8,4;7,6;8,1;5,4;5,3;1,8;1,6;4,5;9,5
Chiapetta;4305405;-27,92299999999;-53,94189999999;0,4;0,2;0,2;-;0;0;0;0,3;0,3
Chuí;4305439;-33,68659999999;-53,4594;2,1;2;1,8;0,4;0,8;1,3;1;0,9;2,6
Chuvisca;4305447;-30,75039999999;-51,9737;1,3;-;0,4;0,8;0,7;0,5;0,3;0,1;0,3
Cidreira;4305454;-30,16039999999;-50,2338;2,6;4,2;3,2;3,9;2,9;3,7;4;3,4;3,7
Ciríaco;4305504;-28,34189999999;-51,87409999999;0,4;0,8;0,2;0,9;0,7;0,1;0,8;0,3;0,6
Colinas;4305587;-29,38149999999;-51,8526;0,4;1,3;0,7;1,5;0;1,7;0,3;0,3;2,6
Colorado;4305603;-28,5258;-52,9928;1,7;0,8;0,6;2;1,2;1;0,7;0,3;1
Condor;4305702;-28,2075;-53,49049999999;0,9;1,5;0,5;0,8;0,7;0,9;0,2;0,6;0,6
Constantina;4305801;-27,73199999999;-52,9938;0,8;0,5;0,5;1,3;1,6;0,5;1,1;0,2;0,8
Coqueiro Baixo;4305835;-29,1722;-52,0989;1,8;-;0,8;4,8;0;0;0,6;0,7;0
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;0,6;0,3;-;0,4;0,3;0;0,6;0;1
Coronel Barros;4305871;-28,39219999999;-54,0686;0,4;0,3;-;0,7;0,4;0;0;0,8;0
Coronel Bicaco;4305900;-27,7197;-53,70219999999;2,7;1,4;2,7;3,9;3,6;1,8;1;1,4;1,7
Coronel Pilar;4305934;-29,2684;-51,68789999999;0,6;-;1,4;-;0;0;0;0;0
Cotiporã;4305959;-28,9891;-51,69709999999;0;0,5;-;0,4;0,3;0,9;0,6;0,6;2,6
Coxilha;4305975;-28,128;-52,3023;1,3;1,5;0,2;0,9;3,5;2,3;3,6;0;1,9
Crissiumal;4306007;-27,4999;-54,0994;2,2;1,8;1,3;0,8;1,3;1,5;0,7;0,4;1,1
Cristal;4306056;-31,0046;-52,04359999999;2,3;1,2;0,9;1,4;1,2;1,3;1,7;1;1,1
Cristal do Sul;4306072;-27,452;-53,24219999999;0,5;0,5;0,8;0,5;0,7;1,3;0,9;0;0
Cruz Alta;4306106;-28,645;-53,60479999999;0,9;1,1;0,8;0,9;0,4;0,6;0,4;0,8;0,6
Cruzaltense;4306130;-27,6644;-52,6492;0,8;0,4;-;-;0;0;0,5;0;0
Cruzeiro do Sul;4306205;-29,5148;-51,9928;2,7;2,5;1,4;2,2;2,6;2,3;2,5;1,8;2,1
David Canabarro;4306304;-28,38489999999;-51,84819999999;0,3;0,4;-;-;0,2;0,6;0,7;0,9;0
Derrubadas;4306320;-27,26419999999;-53,8645;0,2;0,6;-;-;0,5;0;0;0;0
Dezesseis de Novembro;4306353;-28,219;-55,0617;0,2;0,5;0,5;0,5;0;0,6;0,3;1,8;1,7
Dilermando de Aguiar;4306379;-29,7054;-54,2122;0,4;1;0,8;0,3;1,8;3;1;1,4;1,3
Dois Irmãos;4306403;-29,5836;-51,08979999999;1;1,3;0,4;0,6;0,3;0,1;0,3;0,3;0,2
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;0;0,3;-;1,3;0;0,9;0;1,1;0
Dois Lajeados;4306452;-28,983;-51,83959999999;0;-;-;-;0,6;0;0,3;0;0
Dom Feliciano;4306502;-30,70039999999;-52,1026;4,2;1,1;2;1,3;1,9;1;1,4;1,6;2,8
Dom Pedrito;4306601;-30,9756;-54,6694;2,3;2,4;2;1,9;1,4;1,3;1,1;1,2;1,1
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;0,7;0,4;0,4;0,9;0,3;0;0,9;0,6;1,4
Dona Francisca;4306700;-29,61949999999;-53,36169999999;0,7;0,3;0,2;1,5;0,6;0;0;0,1;0
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;0,6;1,6;0,7;0,4;0,3;1,1;0,5;0;2,2
Doutor Ricardo;4306759;-29,084;-51,9971;1,7;0,9;-;1,6;0,6;0,6;0;1,2;1,2
Eldorado do Sul;4306767;-30,0847;-51,61869999999;2,1;2,4;2;1,8;2,1;1,4;1,9;1,3;1,2
Encantado;4306809;-29,23509999999;-51,8703;1,9;1,3;1,3;1,5;0,8;1,1;0,6;1;1,1
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;2,7;3,4;2,5;2,4;1,5;2,7;0,8;0,9;0,8
Engenho Velho;4306924;-27,706;-52,91449999999;2,7;3,6;5,2;1,9;0,3;1,2;5,4;3,2;8,1
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;1,4;1,2;1,2;-;1;2,1;0,4;1;0,9
Entre-ijuís;4306932;-28,3686;-54,26859999999;1,5;1,7;3,1;2,5;1;1,3;0,5;2,4;2,4
Erebango;4306973;-27,85439999999;-52,3005;0,8;1,7;1,6;2,6;1,2;0,8;9,2;3;0
Erechim;4307005;-27,63639999999;-52,2697;0,5;0,8;0,4;0,7;0,5;0,5;1,1;0,8;0,5
Ernestina;4307054;-28,49769999999;-52,58359999999;0,5;0,3;-;0,8;0,2;0;0;0,3;0
Erval Grande;4307203;-27,3926;-52,57399999999;2,3;3;3,6;0,8;1,8;1,9;0,6;1,3;2,2
Erval Seco;4307302;-27,5443;-53,5005;0,7;1;0,5;1,7;1,2;1,8;1,4;1,7;2,2
Esmeralda;4307401;-28,0518;-51,1933;0,8;0,8;0,6;0,8;0;0,9;0;0,8;0,9
Esperança do Sul;4307450;-27,36029999999;-53,9891;0,5;-;0,3;-;0;0,3;0,6;0;0
Espumoso;4307500;-28,7286;-52,8461;0,6;0,6;0,6;0,4;0,6;0,4;0,5;0,4;0,1
Estação;4307559;-27,91349999999;-52,2635;1,6;3,6;2,6;0,6;0,8;0;0;0,4;1,2
Estância Velha;4307609;-29,6535;-51,1843;0,9;1,4;1;0,3;0,8;0,6;0,1;0,3;0,4
Esteio;4307708;-29,852;-51,1841;2;1,7;1,6;1,5;1,4;1,4;1,2;1;1,2
Estrela;4307807;-29,5016;-51,9605;2,4;1,7;1;0,9;1,2;1;1;0,6;1,1
Estrela Velha;4307815;-29,17129999999;-53,16389999999;2,9;1,8;0,7;2,4;1,3;0,7;0,8;0,7;0
Eugênio de Castro;4307831;-28,5315;-54,15059999999;0,6;0,5;0,6;1,1;0,3;2,2;0,6;0,9;0,8
Fagundes Varela;4307864;-28,8794;-51,7014;0;-;-;0,4;0,4;0;0,4;0;0,9
Farroupilha;4307906;-29,2227;-51,3419;0,4;0,2;0,3;0,6;0,3;0,4;0,4;0,4;0,3
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;1,1;1,4;0,4;0,5;0,8;0,9;0,5;0,5;0,3
Faxinalzinho;4308052;-27,4238;-52,67889999999;1,5;3,3;0,8;0,5;1;0,3;0,5;0;0
Fazenda Vilanova;4308078;-29,5885;-51,8217;0;-;0,3;1,5;3;0,4;0,3;0,3;0,2
Feliz;4308102;-29,4527;-51,30319999999;0;0,2;0,3;0,3;0,4;0,1;0,5;0,2;0
Flores da Cunha;4308201;-29,02619999999;-51,1875;0,8;0,8;0,6;0,4;0,7;0,3;0,3;0,4;0,4
Floriano Peixoto;4308250;-27,8614;-52,08379999999;0,7;1,6;0,5;0,5;1,9;1,7;2,3;1;0
Fontoura Xavier;4308300;-28,9816;-52,34449999999;2,1;1,3;1,2;-;0,3;0,4;0,3;0,1;0,4
Formigueiro;4308409;-30,00349999999;-53,49589999999;1,5;1,1;0,3;0,6;0,8;1,6;0,8;0,4;0,4
Forquetinha;4308433;-29,3792;-52,0917;1,5;0,4;0,9;1,9;2,3;0;1,7;0;0,5
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;1,3;-;-;1,2;0;0;0,3;0,2;0
Frederico Westphalen;4308508;-27,35859999999;-53,3958;0,9;0,8;0,6;0,2;0,6;0,5;0,2;0,4;0,3
Garibaldi;4308607;-29,259;-51,5352;0,2;0,4;0,4;0,1;0;0,1;0,2;0,3;0,2
Garruchos;4308656;-28,1944;-55,6383;1,2;2,1;0,9;0,7;0,5;0,8;0,3;1,7;1
Gaurama;4308706;-27,58559999999;-52,0915;0,6;1,6;0,9;0,9;1,1;0,6;0,2;0,7;1,4
General Câmara;4308805;-29,90319999999;-51,7612;1,2;2,6;2,2;2,9;2;1,4;1,8;1,1;1,6
Gentil;4308854;-28,4316;-52,0337;1,3;1,3;1,2;0,3;1,1;0;2,7;0,5;0,5
Getúlio Vargas;4308904;-27,8911;-52,22939999999;1;1,1;0,7;1,5;0,4;1,1;0,9;0,3;0,5
Giruá;4309001;-28,02969999999;-54,3517;0,6;0,8;1;1,1;0,6;1;0,6;0,8;0,2
Glorinha;4309050;-29,87979999999;-50,7734;0,7;0,7;0,9;1,1;1,5;2;0,7;0,4;0,4
Gramado;4309100;-29,3733;-50,87619999999;1,7;1,7;1,8;1,3;0,8;0,9;0,5;0,5;0,7
Gramado dos Loureiros;4309126;-27,4429;-52,9149;4,8;5,2;1,1;3,3;3,5;1,6;0,3;1,7;3,3
Gramado Xavier;4309159;-29,2706;-52,5795;1,4;1,3;1,5;0,3;0,8;0,8;1;1,8;1,7
Gravataí;4309209;-29,94129999999;-50,98689999999;1,1;1,2;1,5;1,7;1,7;1,2;1,1;1,2;1
Guabiju;4309258;-28,5421;-51,6948;1,2;0,7;-;-;0;0;1,6;0,9;0,9
Guaíba;4309308;-30,10859999999;-51,3233;1,3;1,1;1,3;1,3;2,5;0,7;0,7;0,7;0,8
Guaporé;4309407;-28,8399;-51,88949999999;0,1;0,1;0,2;0,3;0,1;1,7;0,3;0,3;0,3
Guarani das Missões;4309506;-28,1491;-54,56289999999;0,5;0,5;0,2;0,4;0,3;0,1;0,7;0,1;0,9
Harmonia;4309555;-29,5456;-51,4185;0,4;1,8;0,7;1,1;0,2;0,3;0;0,3;0,2
Herval;4307104;-32,024;-53,39439999999;1,9;1,3;1,2;1,2;0,3;1,1;0,8;2,1;0,4
Herveiras;4309571;-29,4552;-52,65529999999;6,2;1,8;1,4;1,4;1,8;1,2;1,4;1,5;0,7
Horizontina;4309605;-27,6282;-54,3053;0,3;0,2;0,2;-;0,2;0,1;0,4;0,3;0,1
Hulha Negra;4309654;-31,4067;-53,8667;1,7;1,5;3;0,5;1;1,5;2,2;0,1;0,6
Humaitá;4309704;-27,56909999999;-53,96949999999;1,2;2,7;0,7;-;0,6;1,2;0,7;0,2;0,7
Ibarama;4309753;-29,4203;-53,1295;0,1;0,6;0,6;0,7;2,2;0;0,3;1,7;0,5
Ibiaçá;4309803;-28,0566;-51,8599;0,3;0,3;1,7;0,2;0,4;0;0,4;0,4;0,2
Ibiraiaras;4309902;-28,37409999999;-51,6377;1,3;1,3;0,6;-;0,1;0;0,5;0,9;3,3
Ibirapuitã;4309951;-28,6247;-52,51579999999;0,5;0,5;0,3;0,3;0,6;0;0,1;0,2;0
Ibirubá;4310009;-28,63019999999;-53,0961;0,3;0,2;0,3;0,4;0,4;0,2;0,4;0,4;0,1
Igrejinha;4310108;-29,56929999999;-50,79189999999;1,6;1,9;1,9;1;0,7;0,9;0,7;0,5;1,4
Ijuí;4310207;-28,3881;-53,92;0,7;0,6;0,7;0,7;0,8;0,5;0,5;0,6;0,7
Ilópolis;4310306;-28,9282;-52,12579999999;2,9;0,2;0,2;-;0;0;0,4;0;0
Imbé;4310330;-29,9753;-50,1281;1,9;0,9;0,3;0,4;1,4;1,2;0,2;0,7;0,2
Imigrante;4310363;-29,3508;-51,7747;0,3;-;0,7;0,3;0;0;0,4;0,6;0,2
Independência;4310405;-27,8354;-54,1886;0,8;0,2;0,4;0,4;0,2;0,3;0,1;1,2;1,1
Inhacorá;4310413;-27,8752;-54,015;2,2;2,3;2,4;-;2,4;2,9;0,4;4;1,7
Ipê;4310439;-28,8171;-51,28589999999;1,7;1,1;1,5;0,8;2,9;1,6;1,3;0,7;0,8
Ipiranga do Sul;4310462;-27,9404;-52,4271;0,4;-;0,5;-;0,6;1,3;0,6;0,6;0
Iraí;4310504;-27,1951;-53,2543;3,5;3,3;3,4;2,6;1,2;0,6;0,9;1,2;1,3
Itaara;4310538;-29,60129999999;-53,7725;0,2;0,4;0,5;1,1;0;0;0;1,1;0
Itacurubi;4310553;-28,7913;-55,2447;1;0,8;0,8;2,8;1,1;1,2;0,2;0,2;0,5
Itapuca;4310579;-28,7768;-52,1693;2,6;2,9;1,6;2,4;3,5;2,5;2,5;2,4;1,2
Itaqui;4310603;-29,131;-56,55149999999;0,4;0,1;0,6;0,7;0,9;0,7;0,5;0,6;0,3
Itati;4310652;-29,48832;-50,11357999999;2,2;2,1;1,4;-;1,1;0;1,1;4,1;4,6
Itatiba do Sul;4310702;-27,38459999999;-52,4538;1;1,3;1,9;1,3;0,5;0,4;0,2;0;0,4
Ivorá;4310751;-29,52319999999;-53,5842;1,5;0,8;-;0,4;0,6;0;0,3;1;1,6
Ivoti;4310801;-29,59949999999;-51,1533;0,6;0,3;0,2;0,5;1,2;0,9;1,4;0,7;0,1
Jaboticaba;4310850;-27,63469999999;-53,2762;0,3;0,7;1,2;0,6;1,1;0,5;0,3;0,4;0
Jacuizinho;4310876;-29,02199999999;-53,05369999999;0,8;2,2;1,3;1,5;0,8;0,8;0,5;2,1;0
Jacutinga;4310900;-27,72909999999;-52,53719999999;1;0,6;1,8;-;0,3;0,3;0;0,2;0,5
Jaguarão;4311007;-32,5604;-53,377;2,5;3,6;2,4;1,7;1,8;1,4;1,1;0,6;0,9
Jaguari;4311106;-29,4936;-54,703;0,8;1,5;1,5;1;0,6;0,2;0,4;0,4;0,3
Jaquirana;4311122;-28,8811;-50,3637;2,5;2,8;0,9;1,8;1,4;3;1,6;3,2;1,1
Jari;4311130;-29,2922;-54,2237;0,6;0,4;0,4;0,2;0,2;3,7;0;0;0
Jóia;4311155;-28,6435;-54,1141;1,1;0,9;1,4;0,5;0,7;1;1,3;1,2;1
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;1,9;2,4;1,1;0,6;0,5;1,2;0,6;1,4;0,8
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;1,2;1,3;1;0,8;1,3;0,5;0,9;0,9;1
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;0,6;-;-;1,3;0,4;0;0,5;0;0,5
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;1,3;0,9;1,2;0,5;0,5;1,2;0,9;0,7;0,6
Lagoão;4311254;-29,2348;-52,7997;3,8;3,1;3,2;2,7;2,2;1,1;0,5;1,2;2
Lajeado;4311403;-29,45909999999;-51,96439999999;0,9;0,8;0,6;0,7;1,1;0,8;0,6;0,8;0,8
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;2,5;1,2;1,1;2,6;0,8;0,3;0,3;0,4;0
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;1,2;0,8;1,3;0,7;0,9;0,7;0,7;1,2;1,1
